run_range,runs,bad_bars
2316-2331,2316-2331,None
2333-2354,2333-2354,None
2357-2376,2357-2376,None
2378-2394,2378-2394,None
2529-2545,2529 2531-2545,None
2570-2588,2570-2588,None
2591-2611,2591-2611,None
2614-2630,2614-2630,None
2633-2656,2633-2656,None
2711-2721,2711-2721,None
2830-2848,2830-2842 2844-2846 2848,None
2853-2870,2853-2866 2868 2870,10
4042-4067,4042 4044-4058 4060-4067,13
4082-4116,4082-4116,None
4224-4245,4224-4245,None
4266-4300,4266-4300,None
4333-4380,4333-4334 4336-4380,None
4383-4414,4383-4399 4401-4414,None
4448-4464,4448-4464,None
4466-4493,4466-4493,None
4495-4509,4495-4509,None
4511-4541,4511-4541,None
4543-4573,4543-4573,None
4621-4640,4621-4640,None
4642-4661,4642-4661,None
